model,RMSE,MAE,R2
CatBoost(inputs),0.5548913471592994,0.36524557811119557,0.9973290683530915
XGBoost(inputs),0.7901580533640495,0.5162414721306147,0.9945840479532025
LightGBM-5seed-bag(inputs),1.0647496430514358,0.5901169520929842,0.9901657357203232
SVR-RBF(inputs),1.0745440720890163,0.6648184085873537,0.9899839765179925
LightGBM(inputs+S123),1.0825090950805643,0.5978916574707202,0.9898349392941419
LightGBM(inputs),1.0891791946278722,0.6155057912805191,0.9897092851912563
HistGB(inputs),1.1607967276762972,0.6497233213111503,0.9883114882154875
HistGB(inputs+S123),1.1691831790023877,0.6386472499030613,0.9881419852599209
RandomForest(inputs),1.3600738959506822,0.7711742181928949,0.9839538118872261
ExtraTrees(inputs),1.4008632910384882,0.7073444882275194,0.9829769106496996
"OLS-physics(I,I2,Amb,V,t)",1.5390155928929816,1.097789851263686,0.9794537338858181
Ridge(inputs+I2),1.552957829956106,1.1162698393114696,0.9790797825543351
kNN(inputs),2.2184392810255655,1.3320386913010007,0.9573084461864675
ElasticNet(inputs+I2),2.8113918465993497,2.279471449280074,0.9314370286248878
Dummy(mean),10.756951768487742,8.880775136453684,-0.003749429569462448
