model,RMSE,MAE,R2
CatBoost-5seed-bag-d4,0.5189856358471451,0.3347802361010329,0.997663544335134
CatBoost-d4,0.5548913471592994,0.36524557811119557,0.9973290683530915
CatBoost-d5,0.5638627079672649,0.35660264972182937,0.9972420041128306
blend 0.7*CAT+0.3*XGB,0.5750215576332852,0.3707986911543812,0.9971317624162054
blend 0.5*CAT+0.5*XGB,0.6165945068478744,0.3973211217497625,0.9967020340196331
blend CAT+XGB,0.6165945068478744,0.3973211217497625,0.9967020340196331
CatBoost-d6,0.6813312439680169,0.3886925958303356,0.9959731683015299
blend CAT+XGB+LGBM,0.7211670988807611,0.43515904502277336,0.9954885237133916
XGBoost,0.7901580533640495,0.5162414721306147,0.9945840479532025
LightGBM,1.0891791946278722,0.6155057912805191,0.9897092851912563
