model,accuracy,precision,recall,F1,AUC
RandomForest(eng),0.999,1.0,0.9925373134328358,0.9962546816479401,0.9999999999999999
SVM-RBF(eng),0.999,1.0,0.9925373134328358,0.9962546816479401,1.0
ExtraTrees(eng),0.998,1.0,0.9850746268656716,0.9924812030075187,1.0
CatBoost(eng),0.997,0.9924812030075187,0.9850746268656716,0.9887640449438202,0.9999052083692392
LightGBM(eng),0.996,1.0,0.9701492537313433,0.9848484848484849,0.9763710316776396
HYBRID rules|LightGBM(eng)@0.5,0.99,0.9305555555555556,1.0,0.9640287769784173,0.9942263279445728
HYBRID rules|LightGBM(eng)@0.35,0.99,0.9305555555555556,1.0,0.9640287769784173,0.9942263279445728
HYBRID rules|HistGB(eng)@0.5,0.989,0.9241379310344827,1.0,0.9605734767025089,0.9936489607390301
HYBRID rules|CatBoost(eng)@0.35,0.989,0.9300699300699301,0.9925373134328358,0.9602888086642599,0.9904949846609906
HYBRID rules|CatBoost(eng)@0.5,0.989,0.9300699300699301,0.9925373134328358,0.9602888086642599,0.9904949846609906
HYBRID rules|HistGB(eng)@0.35,0.987,0.9115646258503401,1.0,0.9537366548042705,0.9924942263279446
HistGB(eng),0.986,0.9838709677419355,0.9104477611940298,0.9457364341085271,0.9942090931026163
Logistic(eng),0.986,0.9918032786885246,0.9029850746268657,0.9453125,0.9811967874254593
HYBRID rules|XGBoost(eng)@0.5,0.985,0.9280575539568345,0.9626865671641791,0.945054945054945,0.9755696115266623
HYBRID rules|XGBoost(eng)@0.35,0.981,0.9020979020979021,0.9626865671641791,0.9314079422382672,0.9732601427044915
XGBoost(eng),0.974,1.0,0.8059701492537313,0.8925619834710744,0.9619454689600496
kNN(eng),0.96,1.0,0.7014925373134329,0.8245614035087719,0.9812226396883941
RULE-ENGINE,0.952,0.9056603773584906,0.7164179104477612,0.8,0.8524352831684533
Logistic(raw),0.562,0.13106796116504854,0.40298507462686567,0.1978021978021978,0.4585846747785323
Dummy(majority),0.866,0.0,0.0,0.0,0.5
